source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,area_cell_um2,cell_major_axis_px,cell_minor_axis_px,cell_aspect_ratio,area_cytoplasm_um2,mean_intensity_protein_nucleus,mean_intensity_protein_cell,mean_intensity_protein_cytoplasm
CTRL_1.tif,CTRL_1,all_cells,2,36.02017716535433,36.688976377952756,100.88291440484207,58.95078699213534,44.70073757596557,1.3187877916321376,278.17272116650105,116.43359742998896,65.15976821410494,1.7868939780050495,177.28980676165898,7.149114,13.864001,17.684961
CTRL_1.tif,CTRL_1,all_cells,3,21.384741144414168,108.59891008174387,91.10243500634115,56.5760732301479,41.892188050822206,1.350516071433454,172.87121454609257,79.75072063858963,59.98576403243373,1.32949412122965,81.76877953975142,4.342779,10.459219,17.27383
CTRL_1.tif,CTRL_1,all_cells,7,48.31365174877774,315.0673185408048,132.0116483279897,64.22887440026933,52.920088781178364,1.2136955148705848,319.2308757987867,97.92945520783096,90.74328948947016,1.0791922549732416,187.219227470797,2.0267017,4.263297,5.8403606
CTRL_1.tif,CTRL_1,all_cells,8,9.427411167512691,363.3258883248731,48.90239699250465,57.17810723871501,22.98812952888235,2.4872883705860573,151.57260712499158,96.10730556160883,44.46415361648659,2.1614558637628893,102.67021013248691,1.7076142,2.2237144,2.4695358
CTRL_1.tif,CTRL_1,all_cells,9,15.164598301763553,579.3925538863488,76.0097155284514,56.292127677618154,35.92847211347313,1.5667832325246218,204.74465502242555,81.54381076108628,70.32382782242614,1.1595473865130264,128.73493949397417,7.57936,11.167314,13.285769
CTRL_1.tif,CTRL_1,all_cells,10,13.413978494623656,654.994623655914,64.64052881648837,52.08440843160264,33.10271676305199,1.5734179404192379,126.30223142023536,79.52101320070412,43.35680266631415,1.8341069523211766,61.66170260374698,3.7841783,10.022406,16.561996
CTRL_1.tif,CTRL_1,all_cells,11,46.77625570776256,698.0221787345075,76.10900973554277,50.55469248034486,38.81535050569066,1.302440705074481,192.6804088608229,87.18983664993594,61.93209597213399,1.4078295798218508,116.57139912528012,9.828441,15.437259,19.099234
CTRL_1.tif,CTRL_1,all_cells,12,22.784977064220183,765.4386467889908,86.58454858368336,51.03877076826387,43.74756447827889,1.1666654218797745,179.6728677318521,90.90482867576522,53.65458424736457,1.694260237982001,93.08831914816874,6.602638,11.119646,15.321067
CTRL_1.tif,CTRL_1,all_cells,14,9.098887515451175,905.1545117428925,40.164506768463205,46.2914408838858,23.324452113604085,1.9846743091078276,82.76172161066522,62.44767131956474,36.21745578038861,1.7242423570067429,42.597214842202014,3.5055623,8.026395,12.289044
CTRL_1.tif,CTRL_1,all_cells,15,12.896139705882353,978.1902573529412,54.01604865771071,47.1702181592,30.015896718146653,1.5715078780465814,128.5859981833371,76.93253092613566,44.52314115683342,1.7279223551442537,74.56994952562638,5.046875,7.5324326,9.33289
CTRL_1.tif,CTRL_1,all_cells,16,55.30046948356807,823.336686787391,74.02383138662378,53.70775764385241,35.44483843944409,1.515249046362835,164.62979535750804,94.69613930688361,45.265428920851676,2.0920190433291466,90.60596397088425,2.286385,4.870024,6.980822
CTRL_1.tif,CTRL_1,all_cells,17,47.53908138597905,173.93473005640612,123.22411100040257,63.85889007270658,49.664072185160414,1.2858166328895513,244.95880889443444,103.2608410563657,62.424315131991925,1.654176595098044,121.73469789403187,10.501208,13.66741,16.872349
CTRL_1.tif,CTRL_1,all_cells,18,71.70456905503634,535.7855659397716,95.62032142899893,60.63430354427165,40.53396376295011,1.4958888279190246,235.7244476349361,107.91643415556068,63.75465566689861,1.6926831935128912,140.10412620593718,5.6786084,8.721778,10.798724
CTRL_1.tif,CTRL_1,all_cells,19,54.87676216462028,473.29149613460663,109.17398069697231,56.50446702507385,49.64129752200405,1.1382552400051111,215.17054676702045,92.66297045032906,64.97663051250883,1.4260968862103467,105.99656607004815,3.8472033,5.3304105,6.8580794
CTRL_1.tif,CTRL_1,all_cells,20,70.31060606060606,873.0618686868687,78.64101201637295,53.59607909322277,37.81476502882464,1.4173320673120324,253.20022808301897,108.0335610219383,61.162093411411526,1.7663483212590882,174.55921606664603,5.082071,14.651568,18.962742
CTRL_1.tif,CTRL_1,all_cells,21,68.73909006499535,263.439182915506,53.469930518708125,39.28074027700981,34.993957046318954,1.1225006713306744,212.68819158973594,92.71187398362723,65.6316963376356,1.4126082237259328,159.21826107102783,8.303621,13.871615,15.741503
CTRL_1.tif,CTRL_1,all_cells,22,65.36842105263158,629.5211000474159,104.7057413778602,57.28245776784257,46.965405556163454,1.2196734402589475,283.48496124588985,106.07410450917348,72.50945458422899,1.4629003226876416,178.77921986802968,3.721195,9.428196,12.770619
CTRL_1.tif,CTRL_1,all_cells,23,86.51517779705117,921.2402428447529,57.24311038818056,50.931038386773224,29.038700887809952,1.753902097188975,182.254517116228,84.46606433303374,57.80610142578786,1.4611963486496706,125.01140672804742,13.298352,16.90139,18.551231
CTRL_1.tif,CTRL_1,all_cells,25,83.93558673469387,440.68813775510205,77.84665835964192,53.10619292374845,37.84430461432774,1.4032809815097675,195.75852928065567,118.49091034353272,45.99470853752841,2.5761856985538363,117.91187092101373,8.702806,8.835658,8.923368
CTRL_1.tif,CTRL_1,all_cells,26,82.47828571428572,93.26057142857142,86.8824312049575,49.39746959242182,45.15601630434206,1.0939288634208397,237.06491943066973,85.78486950491083,72.12646429222943,1.189367458209828,150.18248822571223,20.70857,22.64314,23.762314
CTRL_1.tif,CTRL_1,all_cells,27,76.13697270471464,775.8605459057072,100.03891364456535,52.23747285875039,49.22696560771591,1.061155653489286,212.9860742110101,89.52750563744283,62.95080762345119,1.4221820023813478,112.94716056644475,4.3970222,10.383217,15.685275
CTRL_1.tif,CTRL_1,all_cells,28,93.30589631974674,385.57222002374357,125.45823065995862,74.30316112790649,43.42608990832203,1.711025820762815,183.5453418084159,80.08909610189971,60.2175299444928,1.3299963677640727,58.087111148457296,4.4804115,6.213687,9.957265
CTRL_1.tif,CTRL_1,all_cells,29,90.90654205607477,710.4011502516175,69.05912103205478,49.23173856141507,36.08027136131355,1.3645057729306038,143.03330531513288,78.10680912492295,47.932650432161175,1.6295115838726069,73.9741842830781,7.496765,13.961472,19.996645
CTRL_1.tif,CTRL_1,all_cells,30,148.95338983050848,203.25470809792844,105.45044793104556,57.61149385930919,47.01221203555238,1.2254580536593607,257.96635002340525,128.6134882330291,64.42727738713414,1.9962583155611149,152.51590209235968,4.0663843,9.817167,13.793294
CTRL_1.tif,CTRL_1,all_cells,32,107.05423280423281,983.0019841269841,75.06642056108328,52.88318773561914,37.203980265464054,1.4214389793317324,124.86246541741035,72.89905763821817,47.88214897288455,1.5224683770876821,49.79604485632707,9.454365,11.316898,14.124626
CTRL_1.tif,CTRL_1,all_cells,34,141.87707786526684,317.57917760279963,113.49327870544734,61.78157394872859,47.166209438346506,1.30986938921786,354.4803193162266,111.87846568937664,86.84259854177384,1.2882901659783914,240.98704061077925,4.788714,9.218488,11.304697
CTRL_1.tif,CTRL_1,all_cells,35,155.9866579889359,533.6928083306216,152.56554919590536,65.32691292709735,60.19728808022962,1.0852135538071264,409.19142742357695,149.57545739236372,96.30146540880226,1.5532002213820106,256.6258782276716,2.730882,5.631279,7.3555813
CTRL_1.tif,CTRL_1,all_cells,36,141.83934169278996,705.1226489028213,126.69940824860086,64.25337381394782,50.67590930775168,1.26792739768597,297.53509154932016,117.73277030544808,68.71074308857118,1.7134550583114108,170.83568330071927,2.929859,6.574003,9.276664
CTRL_1.tif,CTRL_1,all_cells,37,148.47607260726073,629.7091584158416,120.34457899475255,61.63484726392469,50.181987466440376,1.228226508667946,397.1271812619743,148.54839680446105,71.32124288403341,2.082807180547836,276.78260226722176,4.452145,5.3627954,5.7587442
CTRL_1.tif,CTRL_1,all_cells,38,151.59370904325033,950.5393184796854,75.76148001072293,47.64948454918569,40.83927414720943,1.16675640163016,190.34699499417545,85.52622364375738,60.93268073206059,1.4036182655386857,114.58551498345253,13.150721,19.0253,22.909445
CTRL_1.tif,CTRL_1,all_cells,39,147.68982742960944,795.3197093551317,109.32292200760938,62.848134624185086,46.16652220618185,1.361335695669307,402.141538720089,143.85536226565114,74.67982284175254,1.9262949052581768,292.81861671247964,6.899183,17.338394,21.235842
CTRL_1.tif,CTRL_1,all_cells,40,167.37625418060202,901.2265886287626,118.75587168129049,67.69000215348652,45.27796496614548,1.49498773198174,257.3209376773113,112.72414543329639,60.2897239928955,1.869707438809634,138.56506599602076,3.0664716,12.322786,20.255823
