source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,area_voronoi_territory_um2,area_pseudo_cytoplasm_um2,mean_intensity_protein_nucleus,mean_intensity_protein_voronoi_territory,mean_intensity_protein_pseudo_cytoplasm
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,2,11.132397191574723,289.52557673019055,46.80362551222333,46.56495687756687,28.658323694763176,1.624831841999043,207.54145274778267,160.73782723555937,49.61886,45.17407,43.87984
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,19,77.66666666666667,635.5482456140351,139.14337614666994,69.379019184953,54.534391303309725,1.272206721792865,281.0564753677844,141.91309922111446,58.454258,54.983913,51.581303
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,21,84.87115384615385,234.21153846153845,97.64447448889119,61.13181429570889,43.73922362458925,1.397642875886391,316.21787507556303,218.57340058667182,87.43887,79.469086,75.90869
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,23,94.74486353879178,285.6951855259123,153.0858804366703,75.15831001912423,55.3195832943279,1.358620321112044,289.97592255667354,136.89004212000322,56.777283,53.452507,49.734375
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,46,181.58097826086956,496.61902173913046,86.37780435555759,64.68350319914929,36.39959102435202,1.7770392847511607,220.5450678600052,134.16726350444762,108.67035,97.29998,89.97966
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,48,198.263557483731,165.25596529284164,86.56558219111315,59.36863539839447,39.62677580106,1.4981949502135974,191.5333922666712,104.96781007555803,101.91191,90.617195,81.30258
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,66,280.6874396135266,875.8154589371981,97.1750299000023,59.96510595932771,44.091766510349856,1.3600068834904093,219.60617868222738,122.43114878222511,60.081852,53.084587,47.53078
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,69,279.36953807740326,919.87265917603,75.20502314000177,48.161099220038956,42.8693886854362,1.1234379751349355,131.06892921778086,55.8639060777791,63.12814,59.82629,55.381275
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,71,306.51064814814816,93.6787037037037,101.40003120000239,60.483998042326505,45.52169876354871,1.3286849938640424,256.1759121566727,154.77588095667033,97.594444,99.779526,101.21106
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,73,312.16293597084854,826.4888079125456,90.18030552555769,57.00262899741232,42.98328076256706,1.326158170947582,218.94895625778295,128.76865073222527,66.37793,58.57933,53.117756
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,76,319.4077533862681,25.14852872489491,100.50808648111348,59.0846445163825,46.33892174183942,1.2750543667276348,167.40394039778172,66.89585391666824,98.84586,96.48065,92.92702
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,91,373.74234810415714,994.6336226587483,102.7614205077802,60.50263530493631,46.22793113402037,1.3087895958296694,253.922578130006,151.16115762222577,70.82615,63.303593,58.189663
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,94,375.1801669121257,144.76288659793815,95.62586275666892,59.05380518734441,43.94220002378081,1.343897327748393,223.22090201667194,127.59503926000302,123.54198,129.3072,133.62793
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,96,384.42989084802684,464.18975650713685,111.82170107333599,64.33649534535381,48.094429194307594,1.3377120058006347,209.51312002111604,97.69141894778008,70.80653,64.18389,56.60335
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,108,446.7413870246085,461.5002237136465,104.92086561666915,61.60939782772559,46.322122977243325,1.3300210324555384,255.56563419111714,150.644768574448,170.6992,161.38255,154.89369
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,117,475.24805135259055,256.4557542411738,102.38586483666909,54.574593284383724,50.93419881338342,1.0714724989459097,189.84339174667116,87.45752691000206,87.52407,84.03465,79.94963
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,118,472.1827505827506,319.91981351981354,100.69586431666905,56.480638503005714,48.5064819041511,1.1643936291774688,229.69923734333872,129.00337302666972,125.12101,112.97092,103.48695
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,120,485.2330004755112,207.14170233000476,98.72419704333566,62.20565130363552,43.07430131246416,1.444147656682604,175.57227624444857,76.84807920111292,125.245094,119.077126,111.15333
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,158,606.4068571428571,906.3203809523809,123.22920458333623,68.44964018565557,49.62913245834211,1.3792229844660508,283.07508710000667,159.84588251667043,60.474834,50.864964,43.45647
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,185,728.5330243337196,158.53997682502896,81.02613604222414,60.39040289817463,36.59152900967529,1.6503929880111485,227.49284777556093,146.46671173333678,72.80947,70.63708,69.4353
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_2,240,974.0799867241951,349.08230999004314,141.44365463222556,63.90395274830204,60.334225481458404,1.0591658753942348,275.5639736777843,134.12031904555872,55.16661,54.290535,53.366623
