source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,area_cell_um2,cell_major_axis_px,cell_minor_axis_px,cell_aspect_ratio,area_cytoplasm_um2,mean_intensity_protein_nucleus,mean_intensity_protein_cell,mean_intensity_protein_cytoplasm
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,1,17.65843621399177,84.70096021947874,72.38541199639752,47.75627675932389,39.991521444625945,1.1941600377832429,237.11435370013342,125.02735267540936,50.602094637410836,2.470794016953102,164.7289417037359,3.430727,3.9323702,4.152803
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,2,37.94268077601411,153.47354497354496,112.59952977217391,59.57344027121122,48.564722560586944,1.22668136725975,304.5847068572694,106.45958312261949,76.74762966016023,1.387138385824087,191.98517708509544,1.9047619,3.5154035,4.460047
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,3,26.080291970802918,232.05182481751825,68.0164708059428,50.05615179911294,35.19570620187362,1.4222232539390909,209.0141183160724,122.59502003701367,47.68804778572875,2.5707703655191727,140.99764751012958,10.759124,18.309977,21.952465
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,6,21.599273607748184,394.32869249394673,82.01694143899088,57.22125537303537,36.99102021016384,1.5468958425026884,182.3536476425021,116.70958606301984,42.79688873924103,2.7270577254838457,100.33670620351123,1.6755447,3.0732372,4.215735
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,8,44.95343800757986,500.6491608012994,91.69811794056668,52.62898650135288,44.706605079840074,1.1772082985805896,274.10141264205123,87.89362676801733,84.56464768831835,1.039366084654768,182.40329470148453,3.6448295,9.836624,12.949374
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,9,27.385739592559787,568.7338352524358,112.10305918234951,58.28057694608131,49.37987534429963,1.1802495761627956,273.45600087527947,109.80142941276797,66.92214285728534,1.64073391443733,161.35294169293,0.9623561,1.5299565,1.9243077
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,10,8.449086161879896,655.458224543081,38.029647180549034,47.95621953118001,21.85774125049762,2.1940153367900366,150.08305930391612,77.12913798601723,52.99574078575654,1.4553837127746487,112.05341212336707,3.5718017,6.0826993,6.9348693
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,11,16.021447721179623,731.9691689008043,74.07341200180048,49.594410073255105,39.57382642855552,1.2532124019594166,121.08917685817114,75.04780603369488,45.85357903164207,1.6366837140871124,47.01576485637067,1.5596515,3.7232473,7.1319957
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,13,35.864898210980876,984.9975323874152,80.47788261053523,61.16157659734764,35.75830007156906,1.7104162243432925,190.29717707969252,85.43307094756297,59.80297991944405,1.4285754834063993,109.81929446915727,0.46267736,1.6629273,2.5424955
mixed_pop_1vs1.tif,mixed_pop_1vs1,all_cells,14,63.510511701705674,868.8183260610869,125.16023569473123,68.67278480761136,46.81748989399381,1.4668190234697174,245.752941963078,121.68687513800042,53.62270987628006,2.269316030815303,120.59270626834675,1.609282,3.8862627,6.2494855
