source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,mean_intensity_protein_nucleus
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,1,20.639365351629504,478.3614922813036,109.47447812889148,62.729039360362876,48.13457222207418,1.3032013470682882,68.21704
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,2,13.735099337748345,550.3783112582781,56.70890633777912,47.463633730743325,34.85698420426214,1.3616678210772952,47.645695
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,4,22.094775774387426,915.4308830328248,101.54086457666907,58.426877381396345,48.2493461301836,1.2109361487252555,46.765472
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,5,22.73550156739812,989.323275862069,119.80225908444726,64.15606698853004,51.03300379078105,1.2571485553064707,55.74127
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,7,11.596339113680154,1130.4171483622351,48.72834832666782,49.32752013006287,27.467582051522346,1.7958450087647586,40.45541
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,9,31.723834988540872,718.9022154316272,122.900593371114,69.48711994704057,48.21771092827658,1.4411119609224512,58.450893
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,10,37.867184609692934,816.9433962264151,126.89087237666965,63.91909982965198,54.08850879483161,1.1817500843314008,50.199615
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,11,42.654151404151406,390.60714285714283,153.79004732000362,73.12490972154917,57.35456685933652,1.2749622868025454,57.16597
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,12,41.45635528330781,22.401607963246555,122.61892661778066,64.85794120345935,51.913819270930816,1.2493386561480866,39.37005
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,13,36.782950084127876,162.38698822209759,83.70197019889086,52.3949444912576,43.92277815252296,1.1928877610909498,46.584408
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,14,45.993881713120324,588.3698164513936,138.11059805111438,70.65882317765104,53.21564269387293,1.3277829525450129,52.324703
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,15,74.1831619537275,1134.8791773778921,73.04557803111283,52.18946703977822,39.58321727576758,1.3184746120100765,42.023502
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,16,84.71201329534662,870.1412630579297,197.73006084000465,77.07026117090136,69.65729835292834,1.1064204755747808,51.63214
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,17,87.27177700348432,85.675641431739,148.20365671222572,70.17341648286565,57.384270050135065,1.2228685042356913,45.888412
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,18,82.62040816326531,1002.9714285714285,103.51253185000245,57.04076894433549,49.36214892784945,1.155556842302582,47.221188
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,19,90.05816259087905,1072.6186384666225,142.05393259778114,65.30919816570174,59.05376101547356,1.1059278366468328,47.703094
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,21,99.12443201677735,735.4033554701153,134.30809688111427,64.75135550869437,56.55233970185405,1.1449810184700726,64.76302
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,22,101.25882352941177,425.5783681214421,123.69864917222515,70.14371872729161,48.50764342345485,1.4460343520496626,62.772457
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,23,91.42281033396345,555.875236294896,74.50085625666843,52.55023280528552,38.58043552815895,1.3620953751787053,58.645874
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,24,111.91783415372964,934.0496024233245,123.98031592555849,64.38875281398987,52.293243407001164,1.2313015720376856,48.43912
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,25,116.61293920803124,805.3469046291132,84.17141478777977,48.392619004447965,47.369396978011785,1.021600908850732,43.208744
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,26,128.91512279190005,511.5239121068505,108.95808908111367,65.46471182886316,45.243348415668,1.4469466589301423,69.10488
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,27,142.56269217628972,307.8524086094978,137.40643116778102,72.65972519209646,51.61883504511359,1.407620399193311,55.242226
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,28,135.90236148955495,1117.6848319709354,103.37169847333577,66.57063858992687,42.12325330584911,1.5803774249479223,43.77851
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,29,149.18500486854919,23.04998377150276,144.6358778366701,72.26130144984364,55.78537598443218,1.29534488519015,42.64557
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,30,143.4795847750865,609.5449826989619,135.66948618889208,65.75641441785811,56.171384792312935,1.170639012390111,57.51033
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,31,151.72545369939508,1028.5044206607724,100.8836421522246,59.084913268990924,46.34358221623852,1.2749319418879088,58.584858
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,32,158.75628794449264,840.1756287944493,108.25392219778033,57.81719879016819,50.92325399581753,1.135379109805451,56.7032
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,33,159.93035078800204,718.8307066598882,92.33975063444662,52.34289295492184,47.89724393996075,1.0928163846031247,56.58733
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,34,164.85484972677597,109.4839480874317,137.4533756266699,77.15408690648776,48.50681516916545,1.590582408624771,49.73414
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,35,164.7538888888889,216.67111111111112,84.500026000002,55.280285632030115,41.64990573340662,1.3272607622660433,48.897537
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,37,171.4284717376134,659.4808094905792,134.54281917555872,70.46153725530648,52.81757960338168,1.3340546421175865,63.829628
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,38,175.80543633762517,955.4155937052933,131.25670705333644,64.26979062564877,55.5644126722161,1.156671825270379,59.351776
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,39,162.57501459427905,398.4909515469936,80.41585807666856,61.178231630288835,35.87794866623812,1.7051764079215264,74.958885
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,40,188.46548507462686,882.0657649253732,100.64891985778014,57.284225495512345,47.66021834476498,1.2019295648443975,58.78818
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,41,201.6532456861134,1069.5653245686112,114.26281293555824,59.623700948554955,52.18519898892728,1.1425404540702429,47.829086
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,42,210.70569818409518,564.6637445209768,74.97030084555733,48.7623320040419,41.96804552958202,1.1618918962921634,66.15332
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,43,217.3727659574468,793.5625531914893,110.3194783888915,57.38743265132902,52.22770209504908,1.098792984360862,53.872948
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,44,218.1296840558413,29.956282145481264,127.78281709555857,66.30510081448365,52.50012064342991,1.2629513990037156,46.558777
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,45,223.91380427738173,353.149708360337,72.43530006555727,60.57290902506586,32.80758499002658,1.846308073071513,66.66429
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,46,221.5891315388522,691.3555104113764,92.43363955222439,53.902415123961156,46.55496306980189,1.1578231743658116,56.051804
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,47,229.2586887835703,423.7010268562401,118.86336990666948,62.92353540800083,51.3846029426559,1.2245601173219558,72.08565
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,48,220.9981960312688,525.6325917017439,78.06863513222406,46.43738033137288,45.8018986851454,1.0138745699298615,67.37738
mixed_pop_4vs1.tif,mixed_pop_4vs1,population_1,49,237.7560975609756,935.7248044178555,102.01030916555796,54.71658378166081,50.600117271703986,1.0813529045368198,58.071724
