source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,area_voronoi_territory_um2,area_pseudo_cytoplasm_um2,mean_intensity_protein_nucleus,mean_intensity_protein_voronoi_territory,mean_intensity_protein_pseudo_cytoplasm
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,2,28.112769485903815,333.5330016583748,141.53754355000333,66.01369141008422,58.99554055383255,1.1189607009337885,324.6678776755632,183.13033412555987,96.00763,93.910286,92.2893
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,3,14.681122448979592,392.1326530612245,55.206683653334636,44.599821565572896,35.49660075519489,1.2564533114919676,103.84114306222467,48.63445940889004,77.62391,69.5897,60.469803
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,4,13.177721088435375,535.0892857142857,55.206683653334636,47.01153740200529,33.58697909314695,1.399695318582476,160.08060481111488,104.87392115778025,152.7076,122.023964,105.87178
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,5,12.783346806790622,617.67987065481,58.07029564555692,51.92529719853555,32.18024864700585,1.6135766310608308,162.66255005000383,104.5922544044469,102.46183,85.235,75.670555
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,7,24.92016806722689,952.6984126984127,100.55503094000237,61.95808335509188,45.574463780998514,1.3594912197502198,229.27673721333875,128.72170627333637,118.77084,107.982185,99.55428
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,8,25.336236274138585,1009.8901931086709,123.98031592555849,65.50724437015802,51.74565897189028,1.2659466643519492,302.1814818677849,178.20116594222642,84.82128,71.6774,62.532776
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,10,31.270004909180166,683.7854688267059,95.62586275666892,67.91962734500197,38.40354028676103,1.7685772415210406,246.55229808445026,150.92643532778132,98.301636,81.247986,70.442924
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,11,34.82915811088296,766.4710472279261,114.30975739444715,57.803616627302624,53.69488198591266,1.076520042309953,265.0484148866729,150.73865749222577,126.02523,106.88698,92.37385
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,12,34.788381742738586,432.1255186721992,90.50891673777991,58.517920470920984,42.053854898551066,1.3914995572245905,229.3706261311165,138.8617093933366,109.926056,91.707535,79.83285
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,13,47.29649708090075,863.183486238532,112.57281241555822,71.6436045508852,42.72019610812921,1.6770429697829072,236.9756284711167,124.40281605555849,141.05135,108.69018,79.406364
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,14,54.10625694187338,1076.413550536838,126.79698345889189,67.22787930848622,51.43057693655971,1.3071577904213032,443.10874745223265,316.31176399334083,65.21421,58.397667,55.665184
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,15,59.28041050407486,184.98551162088742,155.52699229889257,73.29414381579788,57.63628695121872,1.271666647746261,443.0148585344549,287.48786623556236,156.79556,113.96972,90.80154
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,16,61.76755319148936,905.2127659574468,88.25558271111319,66.54597421042577,36.23977232526537,1.8362691027181688,243.17229704445018,154.91671433333698,178.02773,128.6476,100.51589
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,17,63.82190923317684,105.29984350547731,149.98754615000354,65.47930521129383,62.573715507620804,1.0464346679768306,772.1894042633515,622.201858113348,145.91237,91.3653,78.216225
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,19,70.81889117043121,531.9219712525668,114.30975739444715,65.65549830655382,47.34585768299896,1.3867210674721713,307.95565031111835,193.64589291667122,96.29909,97.6265,98.41007
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,20,74.77910052910053,807.1534391534392,106.47003276000251,59.72339657362422,48.508412085771596,1.2311966936378482,233.12618284222773,126.65615008222521,86.35903,83.597084,81.27533
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,21,85.99905660377358,445.0377358490566,99.52225284444678,58.66222560790816,46.05152690288903,1.2738388833797387,355.2287204122306,255.7064675677838,142.75797,88.98833,68.06093
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,22,82.86081193040596,618.7626346313173,113.32392375778045,66.02870399579584,46.84462453851162,1.4095257384657385,287.86342190667347,174.53949814889302,131.64291,100.00468,79.46281
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,23,88.96637744034707,1142.090021691974,43.282791095556576,52.831653885341616,23.675143408693238,2.2315241337014435,187.87172447333776,144.5889333777812,65.218,60.366886,58.914703
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,24,97.96861184792219,734.8841732979664,106.18836600666917,61.913594448299875,46.76865968504573,1.3238265724364287,256.6453567455616,150.45699073889244,117.28559,98.021324,84.42513
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,25,107.76697102024613,863.3116315998412,118.25309194111391,67.80974496085861,47.53910845292521,1.4263991725466634,217.68145586778292,99.42836392666901,135.83395,124.46757,110.94922
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,26,128.58734073160707,586.6202219482121,114.21586847666936,59.7314176397316,51.951589121620614,1.149751502305312,200.45283945556028,86.23697097889092,81.04627,78.0,73.9654
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,27,139.10537918871253,350.9378306878307,106.47003276000251,56.52545064361609,51.14538927415084,1.1051915225559612,415.08290549556534,308.6128727355628,125.48697,94.245285,83.46706
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,28,146.78837291740518,227.21446295639845,132.43031852555868,65.49649386755901,54.86943978628038,1.1936789244189774,450.9015276277884,318.47120910222975,134.58505,112.666084,103.55149
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,29,147.20228061477442,729.9449677739217,94.68697357889111,53.52664030018504,48.14772658038387,1.111716878486899,257.7250793000061,163.03810572111493,112.305824,94.62738,84.36034
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,30,152.6957764369641,1069.8497935852652,147.8281010411146,74.18883767721856,54.12943225762085,1.3705822245488923,492.4004292855671,344.5723282444526,85.41985,67.94791,60.452103
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,31,165.51827956989248,79.56594982078853,130.9750403000031,61.669850438777985,57.656905642084595,1.0696004190999158,662.71492613446,531.7398858344569,98.58576,77.9295,72.84156
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,32,160.28584861307004,524.0977903149976,99.85086405666902,56.220560256698505,48.24163244691327,1.1653950624196956,331.85037988556337,231.99951582889437,96.92948,82.820564,76.7482
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,33,164.5812785388128,879.0831050228311,102.80836496666909,63.27888696350177,44.154368656586236,1.4331285643705574,223.3617353933386,120.55337042666952,126.84983,105.329124,86.97619
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,34,174.1224337439343,613.7737961926092,125.76420536333629,72.31612393986482,47.31601543171225,1.5283646198871796,273.82702869889533,148.06282333555905,101.81219,97.69765,94.20278
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,35,193.62132060461417,278.16825775656326,118.01836964666946,64.76316187418253,49.47077762659585,1.3091195445321924,339.64316006111915,221.62479041444968,229.93901,173.47705,143.41026
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,36,193.14871563767463,815.6651644885084,104.1697542744469,58.94552466722732,48.16218937897038,1.223896285183526,272.7942506033398,168.62449632889286,111.00354,110.72666,110.555595
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,37,193.95905989385898,928.1660348749052,123.83948254889181,64.89762009130735,51.94623904307069,1.249322786150084,313.9175965900074,190.07811404111558,94.22165,76.000595,64.129234
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,38,201.2847882454624,694.6650821089023,108.62947786889146,60.13666404131431,49.250370711330255,1.2210398251373897,225.52118050222754,116.8917026333361,115.845604,112.01207,108.44951
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,39,213.4861758310034,985.1149425287356,151.1142131633369,77.81294857618235,52.81712622886907,1.473252221997094,428.64985411445457,277.5356409511176,114.14418,96.429405,86.78394
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,40,206.77600888559792,441.6653091447612,126.79698345889189,65.44684499724713,52.73578004301645,1.2410330319161353,391.00039808556477,264.2034146266729,96.47513,85.497986,80.22981
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,41,209.72147001934235,649.1774661508704,97.08114098222451,63.4884872272843,41.54912138516685,1.528034411094668,208.24561963111603,111.16447864889152,139.87068,122.20466,106.776726
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,42,208.70227018980276,1124.3747673985858,126.13976103444742,66.83728769078867,51.910039757447265,1.2875599402945914,394.09873237223155,267.9589713377841,87.738266,71.17448,63.37719
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,43,215.1406971860563,337.265014699706,111.77475661444709,60.194884825127964,50.423945465266435,1.1937757799336042,297.8156471911181,186.04089057667105,228.1124,158.13503,116.0921
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,44,226.5385818561001,749.8107403545359,90.03947214889101,53.91989984641541,45.36619084521676,1.1885480980843806,215.89756643000507,125.85809428111408,99.17622,101.69596,103.49859
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,45,236.3718574108818,43.75647279549719,125.10698293889185,66.56934799722043,51.045438041994245,1.3041194384982047,475.31264625001126,350.2056633111194,83.19909,85.53642,86.371414
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,46,245.886467308667,566.13532691333,92.62141738777996,55.713218179032495,45.111073230101375,1.2350231149423552,237.30423968333892,144.68282229555896,232.2747,167.38152,125.838936
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,47,250.44110764430576,843.4633385335413,120.36559259111394,58.53758062767786,55.85624872948268,1.0480041527883681,374.10039288556436,253.73480029445042,145.17679,120.23733,108.40666
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,48,264.21112767014404,464.7531048186786,94.49919574333556,56.23111107107078,45.69166041466639,1.2306646455995582,210.45200919889385,115.95281345555829,107.72429,105.959206,104.52071
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,49,266.34299516908214,188.88969404186795,116.61003588000275,66.0200508763555,48.17437323687741,1.3704392281707414,563.1926732900133,446.58263741001053,135.97647,105.14119,97.08959
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,50,277.6141235813367,598.7873055905843,111.6808676966693,68.10435431230607,44.683169148760975,1.5241612358687084,248.99340994667256,137.31254225000322,108.95736,110.128395,111.08083
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,51,282.95477556530545,909.1258859264259,139.09643168778106,68.58356841738333,55.07438377443804,1.2452898011219398,387.2448413744536,248.1484096866725,138.72557,116.09669,103.41236
mixed_pop_1vs4.tif,mixed_pop_1vs4,population_2,52,286.6520216491563,414.9866284622732,147.4525453700035,80.7465603222086,50.24492564683643,1.6070590071077684,323.91676633334095,176.46422096333748,121.22409,112.39265,105.01315
